nama_barang,merk,stok_barang,harga_lama,harga_baru,discount_percent,description,rating_penjualan,total_terjual,total_pemasukan,tanggal_pembelian
"Haier LE32K6000T 32"" Digital LED TV   Black",Haier,33,Rp200.000,Rp13.495,0.33,,3.8 out of 5,26,Rp5.200.000,13 September 2018
"Generic Tilt TV  Wall Bracket  32 ""  70""  LED Tilt Mount   Black",Generic,68,Rp25.000,Rp1.267,0.49,"Sturdy and affordable unique Tilt TV Bracket is the ideal solution to mounting your large screen TV for a great look and spectacular view.

The solid steel mount is suitable for 32to 70” televisions with a weight less than 50kg. The wall mount also allows for tilting action this means you can tilt the TV to achieve a more comfortable viewing angle.

The easy to install mount fits flush with the wall without leaving a huge gap between the TV and wall.

Great value for money and a perfect way to compliment your TV set up the unique Tilt TV Bracket brings a stylish view to your living space.


Sturdy and affordable the Tilt TV Bracket is the ideal solution to mounting your large screen TV for a great look and spectacular view.

The solid steel mount is suitable fortelevisions with a weight less than 15 kg. The wall mount also allows for tilting action this means you can tilt the TV to achieve a more comfortable viewing angle.

The easy to install mount fits flush with the wall without leaving a huge gap between the TV and wall.

Great value for money and a perfect way to compliment your TV set up theTilt TV Bracket brings a stylish view to your living space.",3.6 out of 5,10,Rp250.000,11 Mei 2019
Generic HDMI To VGA Video Converter Adapter Full 1080P Cable Cord For Laptop DVD,Generic,90,Rp18.000,Rp680,0.62,,3.5 out of 5,11,Rp198.000,10 Januari 2019
MK Electronics TV Guard + FREE 1.5M HDMI + 4 Way Socket Extention,MK Electronics,45,Rp19.990,Rp1.348,0.33,Buy a TV Guard Voltage Protector Get a FREE 1.5m HDMI cable + + 4 Way socket Extention from Jumia online store and protect your LED/LCD,4.7 out of 5,6,Rp119.940,20 Mei 2018
Sony 120W SOUND BAR 2.1CH BLUETOOTH HDMI HT S100F,Sony,55,Rp250.000,Rp20,0.2,Enjoy your favourite TV shows in enhanced sound quality delivered by this 2 channel sound bar with a Bass Reflex speaker. The HT S100F’s slim profile design fits easily in your home and sits comfortably within any interiors. Connecting to your TV has never been easier. With HDMI ARC one cable gives an easy connection for all your TV audio. You can control both with just one remote.,0 out of 5,0,Rp0,28 Maret 2018
Generic Rca Female To 3.5mm Male Jack Audio Y Adapter,Generic,28,Rp3.000.000,Rp189,0.37,,3.3 out of 5,4,Rp12.000.000,15 Desember 2018
Plextone Wireless Bluetooth Sports Headset With 8gb Memory,Plextone,43,Rp105.000,Rp65,0.38,,0 out of 5,0,Rp0,29 April 2019
"LG 24LJ52 24"" HD LED Digital TV",LG,36,Rp150.000,Rp10.999,0.27,,0 out of 5,0,Rp0,24 Mei 2019
Generic Mini Portable Waterproof Wireless Bluetooth Speaker,Generic,100,Rp12.990, 499    1299,0.62,Shower,4 out of 5,2,Rp25.980,3 Maret 2018
Ampex Ax P36/ 10000W SUBWOOFER MULTIMEDIA SPEAKER,Ampex,86,,Rp3.699,,,4.3 out of 5,3,Rp0,30 Maret 2018
Sada SADA D 203 USB Wired Combination Speaker Computer Speaker Bass Stereo Music Player Subwoofer Sound Box for Desktop Laptop Notebook Tablet PC Smart Phone,Sada,78,Rp29.720,Rp2.286,0.23,This mini portable speaker is specially designed for Desktop Laptop Notebook Tablet PC. Its high grade loudspeaker will bring you much wonderful music a super companion for your outdoor activities and daily life.,3.3 out of 5,3,Rp89.160,19 Mei 2018
Power King 6 way extension cable.,Power King,55,Rp10.000,Rp528,0.47,,4.2 out of 5,56,Rp560.000,17 Oktober 2018
M Luck Wireless Hi fi Bluetooth Speaker With FM Radio  WSA 841,M Luck,59,Rp35.000,Rp15,0.57,is a unique Bluetooth speaker with unique features designed for smartphones and tablets.Speakers Brands:,4 out of 5,4,Rp140.000,30 April 2018
Royal Sound Multimedia woofer FM USBWirelessBluetooth40000W,Royal Sound,24,Rp269.990,Rp68,0.75,The,0 out of 5,0,Rp0,4 Mei 2018
MK Electronics TV Guard + Fridge Guard + 2 Way Extension Cable   White,MK Electronics,81,Rp22.000,Rp16,0.27,Buy a TV Guard Voltage Protector plus fridge guard with free 2 way extension cable from Jumia online store and protect your LED/LCD,4.1 out of 5,52,Rp1.144.000,1 Oktober 2019
UKA 32'' HD Digital TV   Black LE32K8000T,UKA,24,Rp175.000,Rp132,0.25,"UKA 32'' HD Digital TV Using an advanced picture quality improvement algorithm Wide Colour Enhancer Plus drastically improves the quality of any image and uncovers hidden details. Now see colours as they were meant to be seen with Wide Colour Enhancer Plus. Revolutionize your entertainment with the new 32"" HD Flat TV that offers splendid performance. With the Wide Color Enhancer sports mode and USB connectivity you need nothing more. You can now order for this TV on Jumia and have it delivered to you anywhere in Kenya at an incredible price..",0 out of 5,0,Rp0,16 November 2019
XieBoss X BASS 6030   3.1CH 8500W SOUND SYSTEM,XieBoss,99,Rp270.000,Rp6.299,0.77,,5 out of 5,1,Rp270.000,21 Desember 2019
Ampex Sub woofer system 2.1 channell 10000w speaker; Bluetooth/USB/SD/FM,Ampex,97,Rp95.000,Rp556,0.41,,0 out of 5,0,Rp0,12 Agustus 2019
"Itel 32""  Hyper Real  Engine  HD LED Digital TV BLACK",Itel,97,Rp179.990,Rp13.999,0.22,Using an advanced picture quality improvement algorithm Wide Colour Enhancer Plus drastically improves the quality of any image and uncovers hidden details. Now see colours as they were meant to be seen with Wide Colour Enhancer Plus.,0 out of 5,0,Rp0,23 Februari 2019
"Leader Good High Quality TV Wall Mount Bracket for 24"" 52"" TVs",Leader,28,Rp70.000,Rp730,0.9,Looking for a,0 out of 5,0,Rp0,14 Juni 2019
Sayona SHT 1263BT   3.1 Channel SUBWOOFER   15000W PMPO   BLUETOOTH/USB/SD/FM DIGITAL RADIO   Black.,Sayona,66,Rp209.990,Rp16.999,0.19,SAYONA SHT 1263BT   3.1 Channel SUBWOOFER   15000W is a brand from sayona with an amazing soundbluetoothUsbFM and super bass sorroundBring your living room to life with this stylish subwoofer from Sayona. This sound system is designed for the extreme entertainment lovers to enjoy their amazing music and movies with sound clarity never heard before. Place your order for this amazing sound system from Jumia Kenya and have it delivered to your doorstep at an amazing price,0 out of 5,0,Rp0,22 Juni 2018
Generic Fused heavy duty Red lable 5 Way Socket Extension Cable    White,Generic,15,Rp30.000,Rp750,0.75,This 5 Way Socket Extension Cable is the ideal plug for all your electronics devices‎‎. Comes with a 6 Ft cablemaking it long enough for homeoffice or school.‎‎‎Made of heat resistant hard ABS plastic making withstand overheating.Order this 5 Way Socket Extension Cable today from Jumiaat a great affordable price and have it delivered right at your doorstep.,5 out of 5,3,Rp90.000,22 Agustus 2019
Generic EZCAP 284 1080P HDMI Game HD Video Capture Box Grabber For XBOX PS3 PS4 TV STB Medical online Video Live Streaming CUIII,Generic,99,Rp136.390,Rp7.911,0.42,,0 out of 5,0,Rp0,6 Desember 2018
Generic 4 Port USB 3.0 HubUSB Splitter Multiple USB Interfaces,Generic,80,Rp16.000,Rp1.497,0.06,,0 out of 5,0,Rp0,24 Agustus 2019
Sayona 3.1 Channel Speaker Subwoofer with Bluetooth (SHT 1204BT)   18000 PMPO,Sayona,21,Rp299.990,Rp20.999,0.3,,0 out of 5,0,Rp0,1 Agustus 2019
Generic OR Xh M543 High Power Digital Amplifier Board Tpa3116D2 Audio Module Multicolor,Generic,78,Rp14.850,Rp768,0.48,Features:,0 out of 5,0,Rp0,10 Januari 2018
Generic Wireless Super Bass FM Radio TF Card Headphones,Generic,53,Rp27.000,Rp1.644,0.39,"





",0 out of 5,0,Rp0,10 November 2018
Generic Spy Camera JDM HD 1080P Mini Hidden Wifi Camera P2P Portable Wireless Cam Motion Detection Digital Video Recorder Indoor Security Surveillance Cameras,Generic,50,Rp67.800,Rp546,0.19,,1 out of 5,1,Rp67.800,3 Mei 2019
R8 Bluetooth Soundbar with Subwoofer for TVPCCellphone(Grey),R8,59,Rp50.000,Rp2.399,0.52,,5 out of 5,1,Rp50.000,26 November 2018
Oraimo Phone Charger   Black,Oraimo,51,,Rp799,,The true family charger   Consolidate all your USB wall,0 out of 5,0,Rp0,1 April 2019
Skill Tech TV Wall Bracket Holder Flat Panel   Black,Skill Tech,59,Rp7.000.000,Rp500,0.29,,5 out of 5,1,Rp7.000.000,11 Februari 2018
Sonar Sonar Digital Decorder. Free to Air. No monthly charges. Full HD 1080P with Usb,Sonar,91,Rp929.990,Rp1.469,0.98,Have you been switched off? It's time to bounce back with the Sonar Free To Air Digital Set Box Decoder. With this decoder you don't have the hassles of monthly subscription. You also,4 out of 5,4,Rp3.719.960,25 Januari 2019
TAGWOOD 3.1CH Bass Subwoofer Speaker Fm\usb\bt   6000W,TAGWOOD,44,Rp70.000,Rp385,0.45,,0 out of 5,0,Rp0,20 April 2018
Generic Mini Computer Speakers Portable USB Audio Music Player Speaker For MP3 Computer Laptop PC Phone,Generic,95,Rp9.990.000,Rp799,0.2,Features:,4 out of 5,2,Rp19.980.000,24 Juli 2019
LG 1000W DVD HOMETHEATRE BLUETOOTH FM LHD657,LG,27,Rp450.000,Rp378,0.16,"

",0 out of 5,0,Rp0,2 September 2019
Bamba Universal Decorder Remote Control   Black,Bamba,19,Rp7.000.000,Rp399,0.43,Universal,0 out of 5,0,Rp0,23 April 2018
"Teqworld G40E9   40""   FHD Digital LED TV    Black.",Teqworld,30,Rp237.500,Rp18.999,0.2,,0 out of 5,0,Rp0,9 Juli 2019
Generic 1600X USB Digital Microscope Handheld Mini Camera Soldering Stereo Electronic Endoscope Stand for Samsung Android Windows Mac( Add Type C)( ),Generic,11,Rp39.520,Rp3.162,0.2,     You can use this  for:      Industrial Inspection Computer Parts inspection Telecom module inspection scientific teaching tool Laboratory Research Medical analysis School Research tool Insect dissection examination Plant dissection examination Skin examination Scalp examination Textile Inspection Jewelry Inspection Collections/Coin Inspection Printing Inspection Reading Aid Teacher Add as Project Presentation and so on.         Note:      1.Only support Anroid 4.0 system and above Anroid 4.0 system does not support IOS system;    2.Your Anroid phone must support  OTG function and external camera please confirm carefully before ordering.    3.If you can not use it on your phone(some OTG can not support this endoscope)don't worry you can use it on the computer.(Windows xp/7/8/10)    ,0 out of 5,0,Rp0,3 Juli 2019
Generic 10X 45X Digital Biological Microscope Set for Children(Blue),Generic,16,Rp37.130,Rp2.599,0.3,1. All adopt formal glass lenses not the resin lens,0 out of 5,0,Rp0,20 Juni 2019
Vitron V 527 Multimedia 2.1  Bluetooth Speaker System,Vitron,12,Rp99.990,Rp6.799,0.32,V 527 2.1CH Multimedia Speaker System   Black with FM Radio Built in amplifier  SD Card Slot and USB device playback. Vitron V 527 is a brand from Vitron with ,3 out of 5,2,Rp199.980,21 Juli 2018
Generic Audio USB Condenser Sound Studio Recording Vocal Microphone With Stand Mount New Gold,Generic,24,Rp47.140,Rp2.357,0.5,Specifications:,4 out of 5,2,Rp94.280,14 Desember 2019
Generic Mini I12 Wireless V5.0 Waterproof Earphones Noise Reduction In Ear black,Generic,92,Rp24.200,Rp122,0.5,Universal versatile  fully compatible electronic device.,0 out of 5,0,Rp0,17 Januari 2018
Generic Wireless HDMI Adapter Miracast EZCast Dongle White,Generic,70,Rp10.000,Rp700,0.3,"

",0 out of 5,0,Rp0,3 Juli 2019
Sayona SY 32   HD Digital LED TV,Sayona,63,Rp169.950,Rp15.235,0.1,,4.7 out of 5,3,Rp509.850,28 Juni 2018
Generic Portable Wireless Bluetooth Speakers Black,Generic,12,Rp19.990,Rp1.299,0.35,"

",4.4 out of 5,10,Rp199.900,4 September 2018
Hikvision Camera  $ CCTV HD HIKVISION 720p Camera bullet  White,Hikvision,94,Rp20.000,Rp1.795,0.1,,4 out of 5,2,Rp40.000,8 Agustus 2019
Apc APC Easy UPS BV 500VA AVR Universal Outlet 230V,Apc,91,Rp115.000,Rp8.999,0.22,APC EASY UPS BV 500VA AVR Universal Outlet 230V,4 out of 5,2,Rp230.000,13 Desember 2019
Generic Display Port Male To HDMI Female Adapter Cable,Generic,27,Rp9.990.000,Rp749,0.25,1) This adapter can deliver high definition digital audio and video signal to the display in packet data format. It allows selective screen area updates and provides power saving features required for notebook application. ,4.5 out of 5,8,Rp79.920.000,8 September 2019
Generic  12V 30Amp Cctv Power Supply,Generic,75,,Rp4,,,0 out of 5,0,Rp0,27 Maret 2018
Generic New Wireless Bluetooth Speaker Subwoofer Portable Speaker,Generic,33,Rp19.990,Rp1.179,0.41,,2.8 out of 5,5,Rp99.950,27 Februari 2019
"LG 65C9PVA 65"" OLED 4K TV SMART   Black",LG,16,Rp6.999.550,Rp674.995,0.04,Description,0 out of 5,0,Rp0,12 Oktober 2018
Wster WS  133  Mini Bluetooth Wireless Stereo Speakers FM Memory Card Bluetooth USB   Red,Wster,20,,Rp115,,"You can now enjoy loud hands free music from wherever you go with this 
portable bluetooth speaker that connects with any mobile phonetablet or
 pone via blue tooth. Do not compromise your listening experience while 
you safely listen to your audio radiation free.",4.4 out of 5,8,Rp0,1 Agustus 2019
Generic V380 Q2 Panoramic WiFi MINI IP Camera 1080P HD Night Vision CCTV Hidden CCTV,Generic,81, 4000    6000, 1998    2998,0.5,,0 out of 5,0,#VALUE!,17 Mei 2019
Generic DTA 180 HD Digital Indoor TV Dual Antenna DVB T Antena HDTV,Generic,71,Rp18.350,Rp386,0.79,About 30dBi Aerial Antenna cable.,0 out of 5,0,Rp0,11 September 2019
Hisense 43B6600PA   43″ FHD Smart Android LED TV   Black New Model,Hisense,37,Rp420.000,Rp339,0.19,,0 out of 5,0,Rp0,14 November 2019
"Home Design ROTATING 14"" 55"" 3D TV TILT WALL MOUNT BRACKET",Home Design,51,Rp20.000,Rp145,0.28,The,0 out of 5,0,Rp0,24 Juni 2018
Generic 10000 Lumens 1080P 3D LED Home Cinema Theater Projector TV/\AV/VGA/HDMI,Generic,92, 50718    54478, 25359    27239,0.5,Packing Included:,0 out of 5,0,#VALUE!,6 Desember 2019
"Samsung UA32N5000AK   32""   HD LED Digital TV   Black",Samsung,44,,Rp18.499,,,3.9 out of 5,9,Rp0,29 Agustus 2019
Generic SATA Cable USB 2.0 to Sata Adapter SSD Hard Disk Drive Converter black,Generic,76,Rp5.890.000,Rp203,0.66,,4.2 out of 5,5,Rp29.450.000,20 Agustus 2018
"Vision Plus VP8850K 50"" Frameless 4K UHD Smart TV   Black",Vision Plus,53,Rp499.990,Rp35.499,0.29,"

 

",5 out of 5,1,Rp499.990,8 Februari 2019
Ampex 301A 2.1 Hometheatre Sound System   Ch 10000W PMPO,Ampex,68,Rp130.000,Rp5.089,0.61,,4.2 out of 5,5,Rp650.000,19 Juni 2019
Generic OR 1080P Anti shake LED Light Digital Camera Video Record Professional red,Generic,63,Rp58.090,Rp293,0.5,1.Able to shoot 1080P HD video  its resolution is 2.5 times the general definition  providing better picture resolution and color information.,0 out of 5,0,Rp0,8 Oktober 2018
STAR TIMES New Model Remote Control,STAR TIMES,52,Rp5.000.000,Rp338,0.32,startimes digital receiver (decoder) remote control for all operationoperate your decoder remotely switching power on and off setting and program and volume charges ,4.4 out of 5,5,Rp25.000.000,11 Mei 2019
Sony MDR XB450 Headphones   Red And Black,Sony,94,,Rp1.899,,,4 out of 5,3,Rp0,13 Desember 2018
Remote Control DStv_  Remote Control New,Remote Control,94,Rp10.000,Rp745,0.26,This is multichoicee dstvv remote control unit works with dstvv decoder.The DStvv Remote Control can be used to replace your broken or lost remote control.,0 out of 5,0,Rp0,1 November 2019
Generic Luxury Wireless  4.0 Soundbar Speaker TV Home Theater 3D,Generic,99,Rp266.350,Rp5.594,0.79,This wireless soundbar with  allows you to enhance your TV experience with crisp dynamic sound. It helps out and looks nice to hear everything especially when watching your favorite concerts or even yet your favorite movies.,0 out of 5,0,Rp0,16 September 2019
Sony 40''FULL SMART TV BUILT IN WI FI X REALITY PROYOU TUBE 40W650D Black,Sony,55,Rp610.000,Rp43,0.3,Sony BRAVIA 40W650D Full HD LED Smart TV comes with a cleaner more refined picture Enjoy outstanding clarity sharpness and picture quality for everything you watch. The combination of noise reduction technologies sharpen and remove noise from every scene so the picture gleams with clear detail. Order for this Sony BRAVIA 40W650D Full HD LED Smart TV online at Jumia Kenya and have it delivered right at your doorstep,0 out of 5,0,Rp0,14 Januari 2019
Generic 2 In 1 Audio Charging Adapter Lightning Adapter 3.5mm Earphone Jack AUX Audio Charger Adaptador Earphone Splitter Connector for iPhone X XS XR 8 7 Plus iOS,Generic,41,Rp6.300.000,Rp315,0.5,This Lightning Adapter is suitable for iPhone X XS XR 8 7 Plus iOS devices plug and play very easy to use. It allows listening to music & charging at the same time which provides much convenience to your daily use. Mini and compact size lightweight and portable.,0 out of 5,0,Rp0,31 Desember 2018
Epath Universal TV Wall Mount Bracket Fixed Flat Panel TV Frame Support 15 Degrees Tilt Angle For 14 26 Inch LCD LED Monitor Flat Panel,Epath,24,,Rp517,,,0 out of 5,0,Rp0,17 November 2018
Sayona SHT 1192BT   Sub woofer System  Tallboy – Black.,Sayona,21,Rp159.160,Rp1.535,0.04,,4.6 out of 5,5,Rp795.800,3 Juni 2019
Chrome G5 Cast Ultra 4K Digital Media Video Stream HDTV Black,Chrome,14,Rp36.200,Rp182,0.5,1,3 out of 5,2,Rp72.400,17 Mei 2018
TCL 32 Inch Android Smart FHD Ultraslim TVBlack + 12 Months Warranty ,TCL,66,Rp450.000,Rp18.999,0.58,"With Android TV and Google Assistant built in what TCL 32"" Smart wants to bring to you is an unexpected experience of intelligent home life. ",0 out of 5,0,Rp0,6 Oktober 2019
Generic Go tv decorder gotv  aerialoriginal extension cable,Generic,40,Rp60.000,Rp48,0.2,GOtv has three amazing packages for you to choose from so your family can enjoy the greatest entertainment: movies music sports kids and much more. With GOtv there's something to suit your family's need and budget.,4.5 out of 5,2,Rp120.000,4 September 2019
Generic Chromecast 2 HDMI Mirror TV Stick RK3036 Dual Core 1080P H.265 Anycast Miracast Dongle DLNA Airplay WiFi Display IOS10 YouTube 100%  Q1 Mirroring Dongle Wireless HDMI/AV Dongle TV Stick 1080P HD TV Dongle Wifi Display Dongle Plug & Play,Generic,47,Rp23.100,Rp1.702,0.26,   His digital video audio HDMI cable is suitable for HDMI to HDMI connection suitable for HDTV home theater DVD player projector PS3 xbox360 and other devices. Gold plated connectors are corrosion resistant to ensure optimal connection and maximum signal transmission. It is made of pure anaerobic copper conductor with the highest conductivity and reliability. Compatible with a variety of audio formats from stereo to multi channel sound. Transmit digital audio and video signals at a warp speed of 10.2 g/s or more!This is UGREEN high speed HDMI cable with ethernet support 1080P full HD resolution for 3D televisionHD 4000*2000 televisionApple TVXbox 360Xbox and more HDMI devices. ,2.5 out of 5,2,Rp46.200,7 Juli 2018
Panorama Nanny Camera   Wi Fi Light Bulb   360 Degrees Wide Angle,Panorama,26,Rp50.000,Rp27,0.46,,4.6 out of 5,9,Rp450.000,28 September 2019
Tronic Programmable Digital Timer Switch Socket,Tronic,38,Rp20.000,Rp1.747,0.13,Keep your house safe while you're away with this plug in timeswitch. Pre programmable it allows you to switch on your radio lights and/or audio equipment or TV at pre determined times making it appear to would be burglars casing the neighborhood that there's somebody home when you're away. You can also use it to save on energy bills by programming it to switch on during off peak periods when electricity is cheaper.,4.3 out of 5,9,Rp180.000,10 Agustus 2018
Generic Mini Portable Digital Satellite Signal Finder LCD DVB T TV Receiver,Generic,11,Rp32.480,Rp1.086,0.67,,0 out of 5,0,Rp0,31 Mei 2019
Generic Digital Audio To Analog Converter Coax Optical Toslink SPDIF L/R Output White,Generic,11,Rp29.500,Rp990,0.66,Features:,0 out of 5,0,Rp0,25 Februari 2019
Light Wave UPS 650VA   High/Low voltage protection   Auto charge function,Light Wave,18,Rp65.000,Rp5,0.23,"Lightwave has been the forefront of technology for over a decade. 
Lightwave accessories are synonymous with the latest in information 
technology solar renewable energy and power. Having built a large base
 of loyal customers we have now included mainstream IT products to cater
 to their demand. It features high/Low voltage protection Overload / short protection Intelligent battery management Auto charge function. Place your order online on Jumia Kenya and have it delivered to your doorstep.",5 out of 5,2,Rp130.000,15 Juni 2018
Generic Displayport DP Male To HDMI Female Converter Adapter Cable,Generic,47,Rp25.000,Rp680,0.73,,3.9 out of 5,9,Rp225.000,1 Maret 2019
Royal RY LD3200T2F3 32'' Digital HD Television– Black,Royal,12,Rp200.000,Rp11.999,0.4,,4.4 out of 5,5,Rp1.000.000,16 Oktober 2019
Power King Heavy Duty 4 Way Extension Cable,Power King,30,Rp10.000,Rp509,0.49,This extension is perfect for you if you need to connect more than one appliances when there is just one socket available.This extension allows you to connect many appliances at anyone time. It has a neon light when switched on. The cable length is long which is ideal for the average room.Order this at Jumia Kenya ,4.2 out of 5,5,Rp50.000,5 April 2018
Generic OR Ring Double Magnetic With Shock proof Woven Mesh Hdmi To Vga Hd Cable 1m black,Generic,51,Rp6.930.000,Rp372,0.46,1. Double magnetic ring design: Strengthen anti interference  stable and effective transmission of data,0 out of 5,0,Rp0,23 Juni 2019
Apc APC EASY UPS BV 650VA AVR Universal Outlet 230V,Apc,44,Rp150.000,Rp10.399,0.31,APC EASY UPS BV 650VA AVR Universal Outlet 230V,0 out of 5,0,Rp0,28 Juni 2018
Generic Sonar Free To Air Decoder,Generic,41,Rp20.000,Rp15,0.25,The,0 out of 5,0,Rp0,18 Februari 2019
Samsung Smart Digital TV Remote Control,Samsung,68,Rp14.000,Rp800,0.43,This is an innovative remote controller for Samsung smart TV. Its slim and sleek design makes it comfortable in the palm when being used.,4 out of 5,1,Rp14.000,26 Maret 2018
Generic Digital Multimeter LCD AC/DC,Generic,53,Rp15.000,Rp780,0.48,Maximun voltage between: 1000VDC or 700VAC,0 out of 5,0,Rp0,23 Oktober 2018
Jerry Power JR301   3.1 Channel Home Theatre With BT and AC/DC    BlackRed,Jerry Power,98,Rp110.000,Rp655,0.4,"

",0 out of 5,0,Rp0,29 November 2019
"Vitron 39""   Full HD Digital LED TV   Black",Vitron,24,,Rp16.999,,,3.3 out of 5,3,Rp0,14 November 2018
Vitron V027 2.1 Channel Multimedia Speaker System 2000w,Vitron,28,Rp80.000,Rp34,0.58,,0 out of 5,0,Rp0,31 Juli 2019
Ampex 805 Home Theatre System Multimedia  Subwoofer Speaker With Bluetooth   10000W PMPO,Ampex,32,Rp150.000,Rp55,0.63,,0 out of 5,0,Rp0,7 April 2019
"Vitron 24""  LED Digital TV HTC   BLACK",Vitron,63,Rp119.990,Rp7.999,0.33,,4 out of 5,1,Rp119.990,20 Januari 2018
M Luck SOLAR RADIO WITH BLUETOOTHTORCH SOLAR PANEL BULBS STB29,M Luck,84,Rp30.000,Rp2.499,0.17,"Sunlar Solar is a leading solution provider in the field of
renewable energy throughout Kenya. Our experience spans over many years and our
systems power simple lighting units in remote. Sunlar Solar has
been involved in spearheading research in the development of low cost
Photovoltaic lighting systems and Clean energy products. Order ",4.4 out of 5,7,Rp210.000,28 November 2019
Generic Octopus Mini Flexible Tripod Mobile Phone Stand,Generic,21,Rp4.990.000,Rp299,0.4,Features:,0 out of 5,0,Rp0,10 Oktober 2018
"Samsung UA32N5300AK   32""   HD Smart LED TV   Black",Samsung,36,Rp345.000,Rp249,0.28,,4.4 out of 5,13,Rp4.485.000,29 Desember 2019
Premax  UPS 2250 VA Battery Backup Solution   Black,Premax,41,Rp190.000,Rp15,0.21,,0 out of 5,0,Rp0,24 Juni 2018
Generic TV Aerial + Free 32 GB Flash Disk,Generic,45,Rp15.000,Rp1.149,0.23,Digital receiver antenna This antenna is UHF AND VHF signal receive that help your decoder or your digital TV just connect the antenna to the pole and position it facing the mask signal distributor then connect to the decoder or digital and once the signal if scanned you are ready to receive digital signal clearly  .Oder for this digital Aerial plus a Free 32 GB HP Flash disk from Glamour Home Gadgets and have Jumia Kenya deliver it right at your doorstep.,3.3 out of 5,36,Rp540.000,24 Juli 2019
P47 Wireless Foldable Bluetooth Headphones Stereo with TF card MicBlue + Free 4GB Memory Card,P47,87,Rp18.000,Rp15,0.17,"

",4 out of 5,1,Rp18.000,7 Juli 2018
Sony DSC H300 Cyber Shot Compact Camera,Sony,36,Rp319.950,Rp24.495,0.23," 



 



 Every picture a revelation",5 out of 5,1,Rp319.950,2 Mei 2018
Rk Trust Heavy Duty 4 Way Socket Extension Cable + FREE TV Guard White,Rk Trust,90,Rp19.000,Rp1.249,0.34,Buy  this 4 way socket extension with a FREE TV Guard Voltage Protector  and protect your LED/LCD TV and home entertainment system against all power fluctuations. It provides protection against high voltage disconnect 265V as well as against low voltage. It provides spike/surge protection and power back surge protection. It has microprocessor control. It provides lightning protection as well. Moreover this voltage protector protects LED/LCD TV up to 65 inch and your home entertainment system. Order for this heavy duty 4 Way power extension cable + a free TV Guard Voltage Protector on Jumia online and enjoy fast delivery service to your doorstep.,3.5 out of 5,4,Rp76.000,23 Juni 2018
Zealot H1 Sweat Proof Sport Wireless Bluetooth Headphone   Black,Zealot,57,Rp35.000,Rp319,0.09,Color: Black,0 out of 5,0,Rp0,23 Februari 2019
Generic BTE5 Car MP3 Player BT FM Transmitter Car FM Modulator Dual,Generic,32,Rp9.050.000,Rp633,0.3,Smartphones could be connected to the device through BT.,0 out of 5,0,Rp0,13 Februari 2018
Generic 3110 Pro Camera Tripod Lightweight Flexible Portable,Generic,87,Rp24.470,Rp1.882,0.23,Lightweight steady and portable.,0 out of 5,0,Rp0,4 Oktober 2018
Generic Digital TV Aerial   Multicolor,Generic,69,Rp15.000,Rp645,0.57,Digital receiver antenna This antenna is UHF AND VHF signal receive that help your decoder or your digital TV ,5 out of 5,1,Rp15.000,11 Maret 2019
TCL 32 Inch HD Digital Flat TVHDMI    Black.,TCL,50,Rp199.990,Rp14.599,0.27,,4.7 out of 5,3,Rp599.970,13 Maret 2018
Jsb 6 way power extension cable   white  with 3Metre Cable,Jsb,20,,Rp999,,The 6 way power extension cable has a,4.3 out of 5,10,Rp0,19 Maret 2019
Generic Electric Computer Blower   Red,Generic,52,Rp25.000,Rp1.985,0.21,Portable electric blower features a 220 volt higher power motor. ,4 out of 5,1,Rp25.000,27 Juni 2019
Joc Fm Radio Rechargable Digital Selects Music Player/Fm Radio   Blue,Joc Fm Radio,51,Rp30.000,Rp799,0.73,Are you looking for a portable digital World radio receiver which is  priced competitively? Then look no further than digital selects music player/fm radio. This fm radio engineered with the cutting edge IC design boasts of clear signal reception and advanced function. The time and frequency station switch displays  the station very clearly which is further enhanced with a digitalized display. The sensitive electronic switch makes it easy for you to change bands and frequencies. It is rechargable also supports third party earphones. ,3.6 out of 5,5,Rp150.000,22 November 2018
FOL FL 2108 2.1CH Speaker System 20W   Black,FOL,63,Rp32.000,Rp2.595,0.19,"

",0 out of 5,0,Rp0,22 Maret 2019
Generic Smart Usb Record and Play DVD Playe with Free 4 Way Astrar Cable   Black,Generic,99,Rp49.990,Rp2.895,0.42,"Upgrade your movie experience with  DVD Player! Bring home a DVD player 
that offers more viewing options and functions enjoy the latest movies 
to your old classics in VCR Plus free 4 way socket extension cable . 
With the ",4.6 out of 5,10,Rp499.900,11 Februari 2018
Generic USB 3.1 Type C To HDMI VGA DVI USB 3.0 Adapter Cable 4 In 1,Generic,17,Rp40.000,Rp2.999,0.25,            Features:              1.  4 in 1  . This Multiport Adapter convert your  type C port to 1x HDMI output 1x VGA output 1x DVI output and 1x USB3.0  output. Replaces need for multiple adaptors.                       ​2.Convert laptop signal via USB C port to HDMI VGA or DVI port of projector monitor TV and other display equipment. The HDMI/VGA/DVI ports cannot be used simultaneously.                       ​3.High Resolution Supported: HDMI support 4Kx2K 30Hz(3840x2160) down compatible 1080P 720P. VGA resolution up to ,4.3 out of 5,6,Rp240.000,21 April 2018
Pace Power Box sport Bluetooth Speaker + Power Bank Rechargeable,Pace,13,Rp58.000,Rp4.495,0.22, Video add:   http://t.cn/AiTFcqSU,3.3 out of 5,3,Rp174.000,2 Agustus 2018
