nama_barang,merk,stok_barang,harga_lama,harga_baru,discount_percent,description,rating_penjualan,total_terjual,total_pemasukan,tanggal_pembelian
Generic CAT6 10M Ethernet LAN Network Cable 100M/1000Mbps High Quality RJ45,Generic,79,,Rp898,,,4.7 out of 5,11,Rp0,2018-7-22
"Hisense 32B6600PA   32""   Smart Android TV   HD TV  Black. New Model",Hisense,24,Rp320.000,Rp199,0.38,,4.2 out of 5,11,Rp3.520.000,2019-3-28
"Vitron 24"" HTC2446   Digital LED TV   Black",Vitron,76,Rp115.550,Rp7.999,0.31,,4.8 out of 5,11,Rp1.271.050,2019-8-6
Shark 22FC22ST2  22'' LED TV   Black,Shark,95,Rp97.000,Rp6.795,0.3,Revolutionize your entertainment with the new,3.3 out of 5,11,Rp1.067.000,2019-4-26
Multiple Power MP 709 Standard Charger 4 slots for AA AAA 9V Ni mh Ni cd Rechargeable Battery 220V.....,Multiple Power,30,Rp15.000,Rp740,0.51,This smart charger can charge 4pcs,3.7 out of 5,11,Rp165.000,2019-7-24
"Vitron HyperReal Engine  32"" Inch   HD LED Digital TV",Vitron,30,Rp180.000,Rp12.999,0.28,,2.6 out of 5,11,Rp1.980.000,2019-8-14
Sayona SHT 1204BT   Sub woofer System  Tallboy – Black,Sayona,57,Rp190.000,Rp15.195,0.2,,4.5 out of 5,11,Rp2.090.000,2018-7-8
Generic HDMI To VGA Video Converter Adapter Full 1080P Cable Cord For Laptop DVD,Generic,75,Rp18.000,Rp680,0.62,,3.5 out of 5,11,Rp198.000,2019-4-6
"Sony 32W600D   32"" Smart HD LED TV   Black..",Sony,31,Rp350.000,Rp234,0.33,,3.9 out of 5,11,Rp3.850.000,2018-4-22
Generic Wireless Bluetooth Speaker With USB slot FM MP3 & TF Card,Generic,56,Rp19.990,Rp1.089,0.46,,3.3 out of 5,11,Rp219.890,2018-6-30
Generic Aerial Antenna + Free Heavy Duty Power Extension,Generic,14,Rp15.000,Rp914,0.39,This antenna is,3.6 out of 5,11,Rp165.000,2019-3-28
Generic 2.7 LCD Display 18MP 720P 8x Zoom HD Digital Camera Black,Generic,15,Rp66.900,Rp36,0.46,,4 out of 5,11,Rp735.900,2019-1-13
Generic P47 Bluetooth Music Headset With Mem Slot  White,Generic,69,Rp13.990,Rp999,0.29,Order,4.4 out of 5,11,Rp153.890,2019-11-2
Generic CAT6 10M Ethernet LAN Network Cable 100M/1000Mbps High Quality RJ45,Generic,76,,Rp898,,,4.7 out of 5,11,Rp0,2018-12-11
"Hisense 32B6600PA   32""   Smart Android TV   HD TV  Black. New Model",Hisense,74,Rp320.000,Rp199,0.38,,4.2 out of 5,11,Rp3.520.000,2019-9-26
"Vitron 24"" HTC2446   Digital LED TV   Black",Vitron,79,Rp115.550,Rp7.999,0.31,,4.8 out of 5,11,Rp1.271.050,2018-12-13
Shark 22FC22ST2  22'' LED TV   Black,Shark,53,Rp97.000,Rp6.795,0.3,Revolutionize your entertainment with the new,3.3 out of 5,11,Rp1.067.000,2018-6-3
Multiple Power MP 709 Standard Charger 4 slots for AA AAA 9V Ni mh Ni cd Rechargeable Battery 220V.....,Multiple Power,78,Rp15.000,Rp740,0.51,This smart charger can charge 4pcs,3.7 out of 5,11,Rp165.000,2018-7-9
"Vitron HyperReal Engine  32"" Inch   HD LED Digital TV",Vitron,27,Rp180.000,Rp12.999,0.28,,2.6 out of 5,11,Rp1.980.000,2019-3-31
Sayona SHT 1204BT   Sub woofer System  Tallboy – Black,Sayona,37,Rp190.000,Rp15.195,0.2,,4.5 out of 5,11,Rp2.090.000,2019-7-24
Generic HDMI To VGA Video Converter Adapter Full 1080P Cable Cord For Laptop DVD,Generic,51,Rp18.000,Rp680,0.62,,3.5 out of 5,11,Rp198.000,2018-1-13
"Sony 32W600D   32"" Smart HD LED TV   Black..",Sony,40,Rp350.000,Rp234,0.33,,3.9 out of 5,11,Rp3.850.000,2018-6-13
Generic Wireless Bluetooth Speaker With USB slot FM MP3 & TF Card,Generic,60,Rp19.990,Rp1.089,0.46,,3.3 out of 5,11,Rp219.890,2018-5-13
Generic Aerial Antenna + Free Heavy Duty Power Extension,Generic,13,Rp15.000,Rp914,0.39,This antenna is,3.6 out of 5,11,Rp165.000,2019-8-23
Generic 2.7 LCD Display 18MP 720P 8x Zoom HD Digital Camera Black,Generic,27,Rp66.900,Rp36,0.46,,4 out of 5,11,Rp735.900,2018-11-18
Generic P47 Bluetooth Music Headset With Mem Slot  White,Generic,42,Rp13.990,Rp999,0.29,Order,4.4 out of 5,11,Rp153.890,2019-4-12
Solarpex 10A 12V/24V Controller 100W 200W Regulator,Solarpex,13,Rp189.990,Rp1.299,0.93,10A 12V/24V Auto work PWM Solar Charge Controller with LCD Dual USB 5V Output Solar Cell Panel 100W 200W Charger Regulator PV,3.9 out of 5,10,Rp1.899.900,2018-12-19
"Generic Tilt TV  Wall Bracket  32 ""  70""  LED Tilt Mount   Black",Generic,53,Rp25.000,Rp1.267,0.49,"Sturdy and affordable unique Tilt TV Bracket is the ideal solution to mounting your large screen TV for a great look and spectacular view.

The solid steel mount is suitable for 32to 70” televisions with a weight less than 50kg. The wall mount also allows for tilting action this means you can tilt the TV to achieve a more comfortable viewing angle.

The easy to install mount fits flush with the wall without leaving a huge gap between the TV and wall.

Great value for money and a perfect way to compliment your TV set up the unique Tilt TV Bracket brings a stylish view to your living space.


Sturdy and affordable the Tilt TV Bracket is the ideal solution to mounting your large screen TV for a great look and spectacular view.

The solid steel mount is suitable fortelevisions with a weight less than 15 kg. The wall mount also allows for tilting action this means you can tilt the TV to achieve a more comfortable viewing angle.

The easy to install mount fits flush with the wall without leaving a huge gap between the TV and wall.

Great value for money and a perfect way to compliment your TV set up theTilt TV Bracket brings a stylish view to your living space.",3.6 out of 5,10,Rp250.000,2018-10-4
Generic Portable Wireless Bluetooth Speakers Black,Generic,26,Rp19.990,Rp1.299,0.35,"

",4.4 out of 5,10,Rp199.900,2019-11-15
Jsb 6 way power extension cable   white  with 3Metre Cable,Jsb,34,,Rp999,,The 6 way power extension cable has a,4.3 out of 5,10,Rp0,2018-8-14
Generic Smart Usb Record and Play DVD Playe with Free 4 Way Astrar Cable   Black,Generic,19,Rp49.990,Rp2.895,0.42,"Upgrade your movie experience with  DVD Player! Bring home a DVD player 
that offers more viewing options and functions enjoy the latest movies 
to your old classics in VCR Plus free 4 way socket extension cable . 
With the ",4.6 out of 5,10,Rp499.900,2018-1-13
Vitron V4 Digital DVD Player + 2 FREE Heavy Duty Power Cables,Vitron,38,Rp45.190,Rp2.699,0.4,,4.1 out of 5,10,Rp451.900,2018-1-18
Sayona SHT 1149BT   4.1 Channel Subwoofer,Sayona,93,Rp135.260,Rp1.152,0.15,,4.7 out of 5,10,Rp1.352.600,2018-3-2
Sayona SHT 1195BT   Sub woofer System  Black,Sayona,47,Rp135.100,Rp12.725,0.06,"

",4.4 out of 5,10,Rp1.351.000,2018-2-13
Vitron D32V08   Vitron 32” HD LED Digital TV,Vitron,44,Rp167.990,Rp12.299,0.27,​The Vitron 32 Inch Digital LED TV is a sophisticated and stylish outcome from Vitron family.  It is one of the most affordable LED TV yet with same amazing picture quality you should expect from any Vitron TV models. The Vitron 32 inch TV also comes with powerful and attractive features including a sleek design an inbuilt decoder high resolution and multimedia connectivity.  Its picture quality is something you have not encountered before; deep blacks minimal halo effects around bright images especially on dark backgrounds HDR content that leap off the screen in any viewing setting and little back light bleed around the TVs edges.   Place your order for this amazing product from Jumia Kenya and have it delivered to your doorstep at an amazing price,4.3 out of 5,10,Rp1.679.900,2018-7-3
Vitron V328  2.1Multimedia Speaker Subwoofer With usb/fm/sd/bluetooth 6500watts  Black&Yellow,Vitron,86,,Rp369,,​,3.5 out of 5,10,Rp0,2019-8-21
P47  Bluetooth Headphone Wireless,P47,46,Rp30.000,Rp999,0.67,With its,4.2 out of 5,10,Rp300.000,2018-5-7
Solarpex 10A 12V/24V Controller 100W 200W Regulator,Solarpex,15,Rp189.990,Rp1.299,0.93,10A 12V/24V Auto work PWM Solar Charge Controller with LCD Dual USB 5V Output Solar Cell Panel 100W 200W Charger Regulator PV,3.9 out of 5,10,Rp1.899.900,2019-5-30
"Generic Tilt TV  Wall Bracket  32 ""  70""  LED Tilt Mount   Black",Generic,45,Rp25.000,Rp1.267,0.49,"Sturdy and affordable unique Tilt TV Bracket is the ideal solution to mounting your large screen TV for a great look and spectacular view.

The solid steel mount is suitable for 32to 70” televisions with a weight less than 50kg. The wall mount also allows for tilting action this means you can tilt the TV to achieve a more comfortable viewing angle.

The easy to install mount fits flush with the wall without leaving a huge gap between the TV and wall.

Great value for money and a perfect way to compliment your TV set up the unique Tilt TV Bracket brings a stylish view to your living space.


Sturdy and affordable the Tilt TV Bracket is the ideal solution to mounting your large screen TV for a great look and spectacular view.

The solid steel mount is suitable fortelevisions with a weight less than 15 kg. The wall mount also allows for tilting action this means you can tilt the TV to achieve a more comfortable viewing angle.

The easy to install mount fits flush with the wall without leaving a huge gap between the TV and wall.

Great value for money and a perfect way to compliment your TV set up theTilt TV Bracket brings a stylish view to your living space.",3.6 out of 5,10,Rp250.000,2018-11-27
Generic Portable Wireless Bluetooth Speakers Black,Generic,99,Rp19.990,Rp1.299,0.35,"

",4.4 out of 5,10,Rp199.900,2019-12-1
Jsb 6 way power extension cable   white  with 3Metre Cable,Jsb,94,,Rp999,,The 6 way power extension cable has a,4.3 out of 5,10,Rp0,2018-1-20
Generic Smart Usb Record and Play DVD Playe with Free 4 Way Astrar Cable   Black,Generic,12,Rp49.990,Rp2.895,0.42,"Upgrade your movie experience with  DVD Player! Bring home a DVD player 
that offers more viewing options and functions enjoy the latest movies 
to your old classics in VCR Plus free 4 way socket extension cable . 
With the ",4.6 out of 5,10,Rp499.900,2018-4-3
Vitron V4 Digital DVD Player + 2 FREE Heavy Duty Power Cables,Vitron,40,Rp45.190,Rp2.699,0.4,,4.1 out of 5,10,Rp451.900,2019-10-1
Sayona SHT 1149BT   4.1 Channel Subwoofer,Sayona,95,Rp135.260,Rp1.152,0.15,,4.7 out of 5,10,Rp1.352.600,2018-10-21
Sayona SHT 1195BT   Sub woofer System  Black,Sayona,78,Rp135.100,Rp12.725,0.06,"

",4.4 out of 5,10,Rp1.351.000,2019-7-17
Vitron D32V08   Vitron 32” HD LED Digital TV,Vitron,67,Rp167.990,Rp12.299,0.27,​The Vitron 32 Inch Digital LED TV is a sophisticated and stylish outcome from Vitron family.  It is one of the most affordable LED TV yet with same amazing picture quality you should expect from any Vitron TV models. The Vitron 32 inch TV also comes with powerful and attractive features including a sleek design an inbuilt decoder high resolution and multimedia connectivity.  Its picture quality is something you have not encountered before; deep blacks minimal halo effects around bright images especially on dark backgrounds HDR content that leap off the screen in any viewing setting and little back light bleed around the TVs edges.   Place your order for this amazing product from Jumia Kenya and have it delivered to your doorstep at an amazing price,4.3 out of 5,10,Rp1.679.900,2018-12-2
Vitron V328  2.1Multimedia Speaker Subwoofer With usb/fm/sd/bluetooth 6500watts  Black&Yellow,Vitron,87,,Rp369,,​,3.5 out of 5,10,Rp0,2018-5-6
P47  Bluetooth Headphone Wireless,P47,13,Rp30.000,Rp999,0.67,With its,4.2 out of 5,10,Rp300.000,2018-2-13
Samsung Replacement Remote for Samsung HD smart TV remote control.,Samsung,30,Rp18.000,Rp938,0.48,,4.6 out of 5,9,Rp162.000,2019-12-30
Jsb Heavy Duty 5way power extension cable White,Jsb,36,Rp15.000,Rp999,0.33,,4.8 out of 5,9,Rp135.000,2018-6-28
"LG 32LM630BPVB   32"" Smart LED TV   Inbuilt Wi Fi   New Model",LG,30,Rp319.950,Rp25.895,0.19,,4.3 out of 5,9,Rp2.879.550,2019-1-30
Generic HDMI Cable  10m,Generic,39,Rp12.000,Rp999,0.17,,4.6 out of 5,9,Rp108.000,2019-2-14
Generic TV Stand  dark black butterfly shaped Wooden,Generic,38,,Rp2.959,,"New sealed in a box dismantled!! Elegantly designed to fit in all your 
electronics / follow stand or book shelf. Blends in well with any room color painting. Has a manual 
for ease of assembly making it easy to assemble while requiring no tools. ",4.4 out of 5,9,Rp0,2019-3-17
Generic USB Car Bluetooth Adapter 3.5mm Jack Receiver Music Player,Generic,88,Rp7.500.000,Rp325,0.57,,4.2 out of 5,9,Rp67.500.000,2019-8-10
Google Home Mini Speaker   Grey,Google,10,Rp100.000,Rp3.999,0.6,Google speakers are the modern day electronics that every household should adopt. Its a small and might speaker that is connected by WIFI to play music from Spotify and YouTube. Its a voice assistant device that you can command from within your home to play games like geographical religious historical and many others. If you have Netflix you can use Google home to play on your TV with a specialized tooled called Chrome cast. It's possible to connect the Google home to your lighting system and command power on and out even when you are away from home. All you need is a smartphone and a google account,4.6 out of 5,9,Rp900.000,2019-1-23
T&G TG117 10W Portable Bluetooth Speaker(Black),T&G,16,Rp24.990,Rp1.699,0.32,,4.3 out of 5,9,Rp224.910,2018-6-8
Generic HDMI Cable 1.5 Meters   Black & Red,Generic,17,Rp4.500.000,Rp235,0.48,HDMI connectors are the new high definition standard for connecting. This cable will allow you to connect your  device to the standard HDMI connector  found on most televisions and A/V receivers. HDMI cable is designed to deliver both clear high definition video.  Order for this HDMI to HDMI cable from Jumia Kenya and have it delivered at your doorstep.,4.9 out of 5,9,Rp40.500.000,2019-8-23
"Samsung UA32N5000AK   32""   HD LED Digital TV   Black",Samsung,23,,Rp18.499,,,3.9 out of 5,9,Rp0,2018-1-9
Panorama Nanny Camera   Wi Fi Light Bulb   360 Degrees Wide Angle,Panorama,63,Rp50.000,Rp27,0.46,,4.6 out of 5,9,Rp450.000,2019-6-1
Tronic Programmable Digital Timer Switch Socket,Tronic,57,Rp20.000,Rp1.747,0.13,Keep your house safe while you're away with this plug in timeswitch. Pre programmable it allows you to switch on your radio lights and/or audio equipment or TV at pre determined times making it appear to would be burglars casing the neighborhood that there's somebody home when you're away. You can also use it to save on energy bills by programming it to switch on during off peak periods when electricity is cheaper.,4.3 out of 5,9,Rp180.000,2018-9-1
Generic Displayport DP Male To HDMI Female Converter Adapter Cable,Generic,62,Rp25.000,Rp680,0.73,,3.9 out of 5,9,Rp225.000,2018-12-21
Skyworth Universal Tv remote control,Skyworth,37,Rp25.000,Rp18,0.28,This remote control is compatible with both digital and smart Skyworth Tvit operates all functions and commands.Replace your broken or lost Skyworth digital or smart Tv with a new one and easy to use.,2.9 out of 5,9,Rp225.000,2018-4-10
Bluedio T2+ Wireless Bluetooth V4.1 Stereo Headphones with Microphone Headset Support TF Card FM Function     Black,Bluedio,40,,Rp385,,Bluedio T2+ Wireless Bluetooth 4.1 Stereo Headphone,4.2 out of 5,9,Rp0,2018-8-21
Generic Digital Optical Coaxial  Signal To Analog Audio Converter Adapter RCA,Generic,56,Rp29.950,Rp1.995,0.33,,3.2 out of 5,9,Rp269.550,2019-4-11
Generic Mini Bluetooth Wireless Stereo Speakers FM Memory Card Bluetooth USB  Red,Generic,59,Rp15.000,Rp498,0.67,"You can now enjoy loud hands free music from wherever you go with this 
portable bluetooth speaker that connects with any mobile phonetablet or
 pone via blue tooth. Do not compromise your listening experience while 
you safely listen to your audio radiation free.",3.2 out of 5,9,Rp135.000,2018-7-19
Generic CAT6 20M LAN Network Cable 100M/1000Mbps High Quality GREY,Generic,10,,Rp998,,,4.3 out of 5,9,Rp0,2018-9-21
"Syinix 32""  HD LED Digital TV   Black",Syinix,60,Rp160.000,Rp12.899,0.19,,4.4 out of 5,9,Rp1.440.000,2019-10-30
M Luck Bluetooth FM/AM/SW Solar RadioB29 Usb AC/DC PowerBank Torch,M Luck,29,Rp30.000,Rp2.299,0.23,"

",3.9 out of 5,9,Rp270.000,2018-6-11
Generic Indoor Digital TV Antenna HD Signal Flat Panel UHF FM HDTV,Generic,15,Rp25.000,Rp525,0.79,Overview:,3.2 out of 5,9,Rp225.000,2019-6-28
Samsung Replacement Remote for Samsung HD smart TV remote control.,Samsung,72,Rp18.000,Rp938,0.48,,4.6 out of 5,9,Rp162.000,2018-5-13
Jsb Heavy Duty 5way power extension cable White,Jsb,85,Rp15.000,Rp999,0.33,,4.8 out of 5,9,Rp135.000,2018-11-25
"LG 32LM630BPVB   32"" Smart LED TV   Inbuilt Wi Fi   New Model",LG,51,Rp319.950,Rp25.895,0.19,,4.3 out of 5,9,Rp2.879.550,2018-2-21
Generic HDMI Cable  10m,Generic,92,Rp12.000,Rp999,0.17,,4.6 out of 5,9,Rp108.000,2018-9-13
Generic TV Stand  dark black butterfly shaped Wooden,Generic,23,,Rp2.959,,"New sealed in a box dismantled!! Elegantly designed to fit in all your 
electronics / follow stand or book shelf. Blends in well with any room color painting. Has a manual 
for ease of assembly making it easy to assemble while requiring no tools. ",4.4 out of 5,9,Rp0,2019-10-3
Generic USB Car Bluetooth Adapter 3.5mm Jack Receiver Music Player,Generic,16,Rp7.500.000,Rp325,0.57,,4.2 out of 5,9,Rp67.500.000,2019-6-1
Google Home Mini Speaker   Grey,Google,68,Rp100.000,Rp3.999,0.6,Google speakers are the modern day electronics that every household should adopt. Its a small and might speaker that is connected by WIFI to play music from Spotify and YouTube. Its a voice assistant device that you can command from within your home to play games like geographical religious historical and many others. If you have Netflix you can use Google home to play on your TV with a specialized tooled called Chrome cast. It's possible to connect the Google home to your lighting system and command power on and out even when you are away from home. All you need is a smartphone and a google account,4.6 out of 5,9,Rp900.000,2019-11-13
T&G TG117 10W Portable Bluetooth Speaker(Black),T&G,25,Rp24.990,Rp1.699,0.32,,4.3 out of 5,9,Rp224.910,2018-4-24
Generic HDMI Cable 1.5 Meters   Black & Red,Generic,76,Rp4.500.000,Rp235,0.48,HDMI connectors are the new high definition standard for connecting. This cable will allow you to connect your  device to the standard HDMI connector  found on most televisions and A/V receivers. HDMI cable is designed to deliver both clear high definition video.  Order for this HDMI to HDMI cable from Jumia Kenya and have it delivered at your doorstep.,4.9 out of 5,9,Rp40.500.000,2019-10-9
"Samsung UA32N5000AK   32""   HD LED Digital TV   Black",Samsung,57,,Rp18.499,,,3.9 out of 5,9,Rp0,2018-1-29
Panorama Nanny Camera   Wi Fi Light Bulb   360 Degrees Wide Angle,Panorama,94,Rp50.000,Rp27,0.46,,4.6 out of 5,9,Rp450.000,2018-1-18
Tronic Programmable Digital Timer Switch Socket,Tronic,34,Rp20.000,Rp1.747,0.13,Keep your house safe while you're away with this plug in timeswitch. Pre programmable it allows you to switch on your radio lights and/or audio equipment or TV at pre determined times making it appear to would be burglars casing the neighborhood that there's somebody home when you're away. You can also use it to save on energy bills by programming it to switch on during off peak periods when electricity is cheaper.,4.3 out of 5,9,Rp180.000,2019-11-12
Generic Displayport DP Male To HDMI Female Converter Adapter Cable,Generic,16,Rp25.000,Rp680,0.73,,3.9 out of 5,9,Rp225.000,2019-12-20
Skyworth Universal Tv remote control,Skyworth,57,Rp25.000,Rp18,0.28,This remote control is compatible with both digital and smart Skyworth Tvit operates all functions and commands.Replace your broken or lost Skyworth digital or smart Tv with a new one and easy to use.,2.9 out of 5,9,Rp225.000,2018-8-10
Bluedio T2+ Wireless Bluetooth V4.1 Stereo Headphones with Microphone Headset Support TF Card FM Function     Black,Bluedio,50,,Rp385,,Bluedio T2+ Wireless Bluetooth 4.1 Stereo Headphone,4.2 out of 5,9,Rp0,2019-8-2
Generic Digital Optical Coaxial  Signal To Analog Audio Converter Adapter RCA,Generic,90,Rp29.950,Rp1.995,0.33,,3.2 out of 5,9,Rp269.550,2018-11-17
Generic Mini Bluetooth Wireless Stereo Speakers FM Memory Card Bluetooth USB  Red,Generic,32,Rp15.000,Rp498,0.67,"You can now enjoy loud hands free music from wherever you go with this 
portable bluetooth speaker that connects with any mobile phonetablet or
 pone via blue tooth. Do not compromise your listening experience while 
you safely listen to your audio radiation free.",3.2 out of 5,9,Rp135.000,2019-10-5
Generic CAT6 20M LAN Network Cable 100M/1000Mbps High Quality GREY,Generic,96,,Rp998,,,4.3 out of 5,9,Rp0,2019-3-13
"Syinix 32""  HD LED Digital TV   Black",Syinix,41,Rp160.000,Rp12.899,0.19,,4.4 out of 5,9,Rp1.440.000,2019-9-3
M Luck Bluetooth FM/AM/SW Solar RadioB29 Usb AC/DC PowerBank Torch,M Luck,35,Rp30.000,Rp2.299,0.23,"

",3.9 out of 5,9,Rp270.000,2018-5-17
Generic Indoor Digital TV Antenna HD Signal Flat Panel UHF FM HDTV,Generic,45,Rp25.000,Rp525,0.79,Overview:,3.2 out of 5,9,Rp225.000,2019-11-19
LG LG Home theatre Replacement Remote Control   Black,LG,81,Rp35.000,Rp1.499,0.57,,3.1 out of 5,8,Rp280.000,2019-8-16
"Vitron HTC2446   24"" Digital LED TV   Black",Vitron,79,,Rp7.999,,,4 out of 5,8,Rp0,2019-7-10
Generic Wireless Bluetooth Stereo Headphone Foldable EDR Earphone Mic MP3 FM Headset For Smart Phones Tablet(Gold+Black),Generic,48,Rp36.460,Rp1.823,0.5,Need to press the button for,4.9 out of 5,8,Rp291.680,2019-5-15
Generic Display Port Male To HDMI Female Adapter Cable,Generic,47,Rp9.990.000,Rp749,0.25,1) This adapter can deliver high definition digital audio and video signal to the display in packet data format. It allows selective screen area updates and provides power saving features required for notebook application. ,4.5 out of 5,8,Rp79.920.000,2019-2-14
Wster WS  133  Mini Bluetooth Wireless Stereo Speakers FM Memory Card Bluetooth USB   Red,Wster,60,,Rp115,,"You can now enjoy loud hands free music from wherever you go with this 
portable bluetooth speaker that connects with any mobile phonetablet or
 pone via blue tooth. Do not compromise your listening experience while 
you safely listen to your audio radiation free.",4.4 out of 5,8,Rp0,2018-8-23
Generic Car Dashcam Camera Full Hd 1080p ( Stick On Windscreen ),Generic,60,Rp27.000,Rp1.749,0.35,Specification:1.Video recorder2.105 degree A + grade high   resolution wide Angle lens3.The Advanced photography compression technology4.2.4 inch high resolution LCD can watch while shooting5.LED Night vision function6. can customs box and logo on the camera . 7.Support TF memory card up to 32 gb (includedOptionl),4.3 out of 5,8,Rp216.000,2019-6-30
Generic Metallic TV Remote Holder   Black,Generic,10,Rp17.000,Rp749,0.56,"

",3.6 out of 5,8,Rp136.000,2018-5-28
MK Electronics Fridge Guard + Free 32Gb Hp Flash disk,MK Electronics,94,Rp19.990,Rp998,0.5,"When power gets suddenly high or under voltage it will most likely 
damage any refrigerator's compressor. With this fridge guard you can 
protect your appliance as it disconnects the power when it goes below or
 over unacceptable levels.",4.1 out of 5,8,Rp159.920,2019-9-8
Generic Ultra HD 4K 4 Port HDMI Splitter 1x4 Repeater Amplifier 1080P 3D Hub 1 In 4 Out,Generic,77,Rp16.000,Rp155,0.03,				,4.4 out of 5,8,Rp128.000,2018-4-12
Generic VGA to HDMI Converter Adapter Cable With Audio Output,Generic,20,Rp18.000,Rp118,0.34,VGA Male To,4.6 out of 5,8,Rp144.000,2018-10-14
Csr 4.0  Mini USB Bluetooth Adapter Wiress Dongles Receiver For Windows Mouse Keyboard Headset,Csr,88,Rp10.000,Rp699,0.3,,3.3 out of 5,8,Rp80.000,2018-10-12
Generic 200 Mile Range Aerial TV Digital HD Skywire Indoor HDTV 1080p,Generic,11,Rp36.190,Rp1.213,0.66,Features:,3.4 out of 5,8,Rp289.520,2018-3-29
Generic Gotv Aerial Antenna,Generic,23,Rp20.000,Rp1,0.5,Digital receiver antenna This antenna is UHF AND VHF signal receive that help your decoder or your digital TV ,4.4 out of 5,8,Rp160.000,2019-5-15
Generic Wireless USB Bluetooth Adapter CSR4.0 Bluetooth Dongle Music Sound Receiver Adaptor Bluetooth Transmitter,Generic,68,Rp7.800.000,Rp698,0.11,,3.3 out of 5,8,Rp62.400.000,2018-9-7
LG LG Home theatre Replacement Remote Control   Black,LG,56,Rp35.000,Rp1.499,0.57,,3.1 out of 5,8,Rp280.000,2019-4-18
"Vitron HTC2446   24"" Digital LED TV   Black",Vitron,20,,Rp7.999,,,4 out of 5,8,Rp0,2018-2-19
Generic Wireless Bluetooth Stereo Headphone Foldable EDR Earphone Mic MP3 FM Headset For Smart Phones Tablet(Gold+Black),Generic,75,Rp36.460,Rp1.823,0.5,Need to press the button for,4.9 out of 5,8,Rp291.680,2019-10-16
Generic Display Port Male To HDMI Female Adapter Cable,Generic,41,Rp9.990.000,Rp749,0.25,1) This adapter can deliver high definition digital audio and video signal to the display in packet data format. It allows selective screen area updates and provides power saving features required for notebook application. ,4.5 out of 5,8,Rp79.920.000,2018-5-12
Wster WS  133  Mini Bluetooth Wireless Stereo Speakers FM Memory Card Bluetooth USB   Red,Wster,60,,Rp115,,"You can now enjoy loud hands free music from wherever you go with this 
portable bluetooth speaker that connects with any mobile phonetablet or
 pone via blue tooth. Do not compromise your listening experience while 
you safely listen to your audio radiation free.",4.4 out of 5,8,Rp0,2018-1-13
Generic Car Dashcam Camera Full Hd 1080p ( Stick On Windscreen ),Generic,81,Rp27.000,Rp1.749,0.35,Specification:1.Video recorder2.105 degree A + grade high   resolution wide Angle lens3.The Advanced photography compression technology4.2.4 inch high resolution LCD can watch while shooting5.LED Night vision function6. can customs box and logo on the camera . 7.Support TF memory card up to 32 gb (includedOptionl),4.3 out of 5,8,Rp216.000,2018-2-26
Generic Metallic TV Remote Holder   Black,Generic,37,Rp17.000,Rp749,0.56,"

",3.6 out of 5,8,Rp136.000,2019-8-21
MK Electronics Fridge Guard + Free 32Gb Hp Flash disk,MK Electronics,62,Rp19.990,Rp998,0.5,"When power gets suddenly high or under voltage it will most likely 
damage any refrigerator's compressor. With this fridge guard you can 
protect your appliance as it disconnects the power when it goes below or
 over unacceptable levels.",4.1 out of 5,8,Rp159.920,2019-12-25
Generic Ultra HD 4K 4 Port HDMI Splitter 1x4 Repeater Amplifier 1080P 3D Hub 1 In 4 Out,Generic,46,Rp16.000,Rp155,0.03,				,4.4 out of 5,8,Rp128.000,2019-1-13
Generic VGA to HDMI Converter Adapter Cable With Audio Output,Generic,90,Rp18.000,Rp118,0.34,VGA Male To,4.6 out of 5,8,Rp144.000,2019-9-15
Csr 4.0  Mini USB Bluetooth Adapter Wiress Dongles Receiver For Windows Mouse Keyboard Headset,Csr,63,Rp10.000,Rp699,0.3,,3.3 out of 5,8,Rp80.000,2019-11-8
Generic 200 Mile Range Aerial TV Digital HD Skywire Indoor HDTV 1080p,Generic,86,Rp36.190,Rp1.213,0.66,Features:,3.4 out of 5,8,Rp289.520,2018-2-14
Generic Gotv Aerial Antenna,Generic,58,Rp20.000,Rp1,0.5,Digital receiver antenna This antenna is UHF AND VHF signal receive that help your decoder or your digital TV ,4.4 out of 5,8,Rp160.000,2018-6-18
Generic Wireless USB Bluetooth Adapter CSR4.0 Bluetooth Dongle Music Sound Receiver Adaptor Bluetooth Transmitter,Generic,29,Rp7.800.000,Rp698,0.11,,3.3 out of 5,8,Rp62.400.000,2018-4-15
Generic TV Stand / Shelf   Brown,Generic,17,,Rp234,,The Unique Collection's Wooden TV Stand / Shelf is a stylish modern yet classy design that will complement the furniture in your living room. Use it as a TV stand or side shelf to place your flower vase or other home decor. This TV stand/shelf is dismantable and easy to fix so you can easily carry it whenever you move. A very great and versatile furniture to have in your home. ,3.9 out of 5,7,Rp0,2018-10-23
"Hisense 49B6000PW   49""   Smart Digital Full HD Digital LED TV   Black   2019 model",Hisense,24,Rp460.000,Rp41.499,10%,,4.6 out of 5,7,Rp3.220.000,2018-5-9
Generic Wireless Earphone Bluetooth Headset Stereo Music Earbuds Sport Earphones,Generic,59,Rp12.240,Rp826,0.33,,3.6 out of 5,7,Rp85.680,2018-6-5
Syinix 40S630F 40''   Full HD LED TV   Black,Syinix,59,Rp280.000,Rp208,0.26,​Get an incredible ,4.6 out of 5,7,Rp1.960.000,2019-11-25
Sonar Free to Air Decoder with Digital Aerial,Sonar,36,Rp35.000,Rp1.995,0.43,Have you been switched off? It's time to bounce back with the Sonar ,4 out of 5,7,Rp245.000,2018-8-12
